ENSMUSG00000048537	Phldb1
ENSMUSG00000048644	Ctxn1
ENSMUSG00000048720	Tbc1d12
ENSMUSG00000049076	Acap2
ENSMUSG00000049339	Retreg2
ENSMUSG00000049382	Krt8
ENSMUSG00000049804	Armcx4
ENSMUSG00000049929	Lpar4
ENSMUSG00000049957	Ccdc137
ENSMUSG00000050029	Rap2c
ENSMUSG00000050812	Ecpas
ENSMUSG00000050989	Selenon
ENSMUSG00000051154	Commd3
ENSMUSG00000051185	Fam174a
ENSMUSG00000051375	Pcdh1
ENSMUSG00000051390	Zbtb22
ENSMUSG00000051550	Zfp579
ENSMUSG00000051675	Trim32
ENSMUSG00000052396	Mogat2
ENSMUSG00000052684	Jun
ENSMUSG00000052915	Msl1
ENSMUSG00000052957	Gas1
ENSMUSG00000053414	Hunk
ENSMUSG00000053897	Slc39a8
ENSMUSG00000054256	Msi1
ENSMUSG00000054702	Ap1s3
ENSMUSG00000054720	Lrrc8c
ENSMUSG00000054850	Smim10l2a
ENSMUSG00000054863	Tafa5
ENSMUSG00000054889	Dsp
ENSMUSG00000055128	Cgrrf1
ENSMUSG00000056050	Mia3
ENSMUSG00000056116	H2-T22
ENSMUSG00000056260	Lrif1
ENSMUSG00000056708	Ier5
ENSMUSG00000056758	Hmga2
ENSMUSG00000056952	Tatdn2
ENSMUSG00000057469	E2f6
ENSMUSG00000057614	Gnai1
ENSMUSG00000058070	Eml1
ENSMUSG00000058254	Tspan7
ENSMUSG00000058317	Ube2e2
ENSMUSG00000058761	Rnf169
ENSMUSG00000059878	Zfp422
ENSMUSG00000061186	Sfmbt2
ENSMUSG00000061322	Dnaic1
ENSMUSG00000062115	Rai1
ENSMUSG00000062327	T
ENSMUSG00000062373	Tmem65
ENSMUSG00000063439	B9d2
ENSMUSG00000063450	Syne2
ENSMUSG00000063804	Lin28b
ENSMUSG00000064373	Selenop
ENSMUSG00000065979	Cpped1
ENSMUSG00000066233	Tmem42
ENSMUSG00000066406	Akap13
ENSMUSG00000066456	Hmgn3
ENSMUSG00000067336	Bmpr2
ENSMUSG00000067377	Tspan6
ENSMUSG00000067851	Arfgef1
ENSMUSG00000067924	Rtl8b
ENSMUSG00000067925	Rtl8a
ENSMUSG00000068250	Amn1
ENSMUSG00000068735	Trp53i11
ENSMUSG00000069114	Zbtb10
ENSMUSG00000069255	Dusp22
ENSMUSG00000070526	Peg12
ENSMUSG00000070643	Sox13
ENSMUSG00000070858	Gm1673
ENSMUSG00000070871	Ccnyl1
ENSMUSG00000070923	Klhl9
ENSMUSG00000070972	Dnajc25
ENSMUSG00000071235	Vrtn
ENSMUSG00000071266	Zfp946
ENSMUSG00000071649	B3gat3
ENSMUSG00000071856	Mcc
ENSMUSG00000072501	Phf20l1
ENSMUSG00000072568	Lratd2
ENSMUSG00000072704	Smim10l1
ENSMUSG00000073139	Tmem185a
ENSMUSG00000073147	5031425E22Rik
ENSMUSG00000073293	Nudt10
ENSMUSG00000073295	Nudt11
ENSMUSG00000073563	Csnk1g3
ENSMUSG00000073982	Rhog
ENSMUSG00000074102	Rbm15b
ENSMUSG00000074218	Cox7a1
ENSMUSG00000074466	Gm15417
ENSMUSG00000074746	Pdzd8
ENSMUSG00000074922	Fam122a
ENSMUSG00000075012	Fjx1
ENSMUSG00000075304	Sp5
ENSMUSG00000075334	Rprm
ENSMUSG00000078202	Nrarp
ENSMUSG00000078317	F8a
ENSMUSG00000078689	Mup6
ENSMUSG00000079017	Ifi27l2a
ENSMUSG00000079037	Prnp
ENSMUSG00000081683	Fzd10
ENSMUSG00000085042	Abhd11os
ENSMUSG00000085795	Zfp703
ENSMUSG00000086061	Gm13075
ENSMUSG00000087679	Tmem250-ps
ENSMUSG00000089665	Fcor
ENSMUSG00000090946	Ccdc71l
ENSMUSG00000091337	Eid1
ENSMUSG00000091803	Cox16
ENSMUSG00000092035	Peg10
ENSMUSG00000096299	Gm21814
ENSMUSG00000096740	Lbhd1
ENSMUSG00000096956	Snhg18
ENSMUSG00000097415	AU020206
ENSMUSG00000105039	Gm32585
ENSMUSG00000108866	Gm35082
