id	sample
GSM3443933	E7.5_Plate2_H8
GSM3443942	E7.5_Plate3_A5
GSM3443943	E7.5_Plate3_A6
GSM3443944	E7.5_Plate3_A7
GSM3443961	E7.5_Plate3_C12
GSM3443971	E7.5_Plate3_D10
GSM3443982	E7.5_Plate3_D9
GSM3443984	E7.5_Plate3_E11
GSM3443988	E7.5_Plate3_E3
GSM3443990	E7.5_Plate3_E5
GSM3444007	E7.5_Plate3_G10
GSM3444009	E7.5_Plate3_G12
GSM3444013	E7.5_Plate3_G4
GSM3444016	E7.5_Plate3_G7
GSM3444022	E7.5_Plate3_H1
GSM3444024	E7.5_Plate3_H3
GSM3444029	E7.5_Plate3_H8
GSM3444031	E7.5_Plate4_A10
GSM3444034	E7.5_Plate4_A1
GSM3444039	E7.5_Plate4_A6
GSM3444047	E7.5_Plate4_B2
GSM3444049	E7.5_Plate4_B4
GSM3444052	E7.5_Plate4_B7
GSM3444058	E7.5_Plate4_C1
GSM3444061	E7.5_Plate4_C4
GSM3444091	E7.5_Plate4_F10
GSM3444095	E7.5_Plate4_F2
GSM3444096	E7.5_Plate4_F3
GSM3444106	E7.5_Plate4_G1
GSM3444123	E7.5_Plate4_H6
